build,crate,status,compile_seconds,run_seconds,timestamp,job_id
rust,bincode-2.0.1,success,53.859,2.154,2026-06-12T16:29:28Z,1801473
rust,core-foundation-sys-0.8.7,success,1.720,0.183,2026-06-12T16:29:37Z,1801506
rust,bumpalo-3.20.3,success,35.042,4.158,2026-06-12T16:29:34Z,1801478
rust,cpufeatures-0.3.0,success,2.234,0.439,2026-06-12T16:29:39Z,1801507
rust,bitvec-1.0.1,success,45.208,37.493,2026-06-12T16:29:37Z,1801458
rust,core-foundation-0.10.1,build_failed,4.962,0.000,2026-06-12T16:29:41Z,1801505
rust,crc32fast-1.5.0,success,5.759,0.941,2026-06-12T16:29:42Z,1801508
rust,async-io-2.6.0,success,49.999,28.861,2026-06-12T16:29:38Z,1801466
rust,async-compression-0.4.42,success,79.517,0.584,2026-06-12T16:29:39Z,1801468
rust,async-stream-0.3.6,build_failed,40.643,0.000,2026-06-12T16:29:47Z,1801490
rust,colored-3.1.1,test_failed,26.900,0.782,2026-06-12T16:30:01Z,1801499
rust,console-0.16.3,success,22.026,3.099,2026-06-12T16:30:05Z,1801502
rust,const-oid-0.10.2,success,22.470,0.495,2026-06-12T16:30:05Z,1801504
rust,cc-1.2.63,success,12.963,1.314,2026-06-12T16:30:06Z,1801494
rust,arc-swap-1.9.1,success,46.286,6.675,2026-06-12T16:30:12Z,1801487
rust,crossbeam-deque-0.8.6,success,10.811,15.740,2026-06-12T16:30:28Z,1801511
rust,addr2line-0.26.1,success,88.830,1.447,2026-06-12T16:30:20Z,1801452
rust,crossbeam-epoch-0.9.18,success,6.812,7.835,2026-06-12T16:30:30Z,1801512
rust,combine-4.6.7,build_failed,43.497,0.000,2026-06-12T16:30:26Z,1801500
rust,constant_time_eq-0.5.0,success,40.681,1.030,2026-06-12T16:30:34Z,1801503
rust,data-encoding-2.11.0,success,2.111,3.194,2026-06-12T16:30:40Z,1801519
rust,crossbeam-utils-0.8.21,success,12.547,20.434,2026-06-12T16:30:38Z,1801514
rust,csv-1.4.0,success,37.854,15.699,2026-06-12T16:30:53Z,1801516
rust,ahash-0.8.12,success,103.279,52.913,2026-06-12T16:30:55Z,1801459
rust,either-1.16.0,success,6.345,5.512,2026-06-12T16:31:06Z,1801525
rust,dirs-sys-next-0.1.2,success,5.856,0.413,2026-06-12T16:31:04Z,1801523
rust,dirs-sys-0.5.0,success,19.970,1.469,2026-06-12T16:31:08Z,1801522
rust,errno-0.3.14,success,11.443,1.514,2026-06-12T16:31:11Z,1801528
rust,encoding_rs-0.8.35,success,15.051,2.305,2026-06-12T16:31:12Z,1801526
rust,filetime-0.2.29,success,6.150,0.309,2026-06-12T16:31:19Z,1801531
rust,foreign-types-0.5.0,success,5.128,0.573,2026-06-12T16:31:25Z,1801536
rust,find-msvc-tools-0.1.9,success,4.228,0.296,2026-06-12T16:31:26Z,1801532
rust,deranged-0.5.8,build_failed,16.579,0.000,2026-06-12T16:31:24Z,1801521
rust,event-listener-strategy-0.5.4,success,4.386,6.774,2026-06-12T16:31:25Z,1801530
rust,fixedbitset-0.5.7,success,8.166,0.904,2026-06-12T16:31:29Z,1801533
rust,dashmap-6.2.1,success,22.517,15.410,2026-06-12T16:31:31Z,1801518
rust,futures-channel-0.3.32,build_failed,1.374,0.000,2026-06-12T16:31:36Z,1801539
rust,form_urlencoded-1.2.2,success,1.111,0.550,2026-06-12T16:31:37Z,1801538
rust,chrono-0.4.44,success,24.560,99.954,2026-06-12T16:31:34Z,1801496
rust,futures-core-0.3.32,test_failed,1.503,0.298,2026-06-12T16:31:37Z,1801540
rust,futures-task-0.3.32,test_failed,1.790,0.279,2026-06-12T16:31:37Z,1801544
rust,foreign-types-shared-0.3.1,success,1.784,0.257,2026-06-12T16:31:39Z,1801537
rust,event-listener-5.4.1,success,27.183,7.508,2026-06-12T16:31:45Z,1801529
rust,flate2-1.1.9,success,18.323,6.609,2026-06-12T16:31:49Z,1801534
rust,hermit-abi-0.5.2,test_failed,1.544,0.480,2026-06-12T16:32:00Z,1801553
rust,home-0.5.12,success,1.278,0.468,2026-06-12T16:32:07Z,1801554
rust,hashlink-0.11.0,success,8.189,0.204,2026-06-12T16:32:07Z,1801552
rust,der-0.8.0,success,31.499,1.171,2026-06-12T16:31:57Z,1801520
rust,futures-util-0.3.32,test_failed,20.073,10.323,2026-06-12T16:32:14Z,1801542
rust,criterion-0.8.2,success,51.683,83.211,2026-06-12T16:32:11Z,1801509
rust,http-body-1.0.1,success,3.217,0.177,2026-06-12T16:32:23Z,1801558
rust,dyn-clone-1.0.20,test_failed,62.097,5.313,2026-06-12T16:32:14Z,1801524
rust,foldhash-0.2.0,success,43.218,1.780,2026-06-12T16:32:35Z,1801535
rust,http-body-util-0.1.3,build_failed,12.312,0.000,2026-06-12T16:32:39Z,1801559
rust,getrandom-0.4.2,success,9.440,1.544,2026-06-12T16:32:41Z,1801547
rust,generic-array-1.4.3,success,60.535,4.269,2026-06-12T16:32:53Z,1801546
rust,hashbrown-0.17.1,success,44.351,7.092,2026-06-12T16:32:58Z,1801551
rust,iana-time-zone-haiku-0.1.2,success,3.947,0.656,2026-06-12T16:33:03Z,1801563
rust,half-2.7.1,success,44.394,4.625,2026-06-12T16:32:59Z,1801550
rust,gimli-0.33.0,success,52.748,1.548,2026-06-12T16:33:05Z,1801548
rust,http-1.4.1,success,22.586,22.212,2026-06-12T16:33:10Z,1801556
rust,inout-0.2.2,success,3.335,0.238,2026-06-12T16:33:24Z,1801570
rust,hostname-0.4.2,success,48.099,1.362,2026-06-12T16:33:17Z,1801555
rust,hyper-1.10.1,test_failed,38.892,1.225,2026-06-12T16:33:24Z,1801560
rust,hyper-util-0.1.20,build_failed,37.138,0.000,2026-06-12T16:33:26Z,1801561
rust,httparse-1.10.1,success,43.616,18.630,2026-06-12T16:33:35Z,1801557
rust,generic-array-1.4.2,success,65.028,6.427,2026-06-12T16:33:37Z,1801545
rust,io-lifetimes-3.0.1,success,2.127,0.458,2026-06-12T16:33:49Z,1801572
rust,is-terminal-0.4.17,success,4.646,0.365,2026-06-12T16:33:50Z,1801573
rust,indexmap-2.14.0,success,21.497,2.019,2026-06-12T16:33:53Z,1801569
rust,crypto-bigint-0.7.3,success,209.148,2.232,2026-06-12T16:33:50Z,1801515
rust,icu_locale_core-2.2.0,build_failed,35.752,0.000,2026-06-12T16:33:53Z,1801565
rust,js-sys-0.3.99,success,0.106,0.067,2026-06-12T16:34:01Z,1801577
rust,libc-0.2.186,success,4.302,0.424,2026-06-12T16:34:03Z,1801580
rust,idna-1.1.0,test_failed,24.543,1.437,2026-06-12T16:34:00Z,1801568
rust,icu_collections-2.2.0,build_failed,48.592,0.000,2026-06-12T16:34:02Z,1801564
rust,icu_normalizer-2.2.0,build_failed,49.520,0.000,2026-06-12T16:34:03Z,1801566
rust,curve25519-dalek-4.1.3,success,44.242,187.492,2026-06-12T16:34:06Z,1801517
rust,icu_provider-2.2.0,build_failed,35.292,0.000,2026-06-12T16:34:07Z,1801567
rust,libloading-0.9.0,success,6.057,3.680,2026-06-12T16:34:10Z,1801581
rust,crossbeam-channel-0.5.15,success,31.104,218.318,2026-06-12T16:34:11Z,1801510
rust,instant-0.1.13,success,27.279,0.278,2026-06-12T16:34:10Z,1801571
rust,lazycell-1.3.0,success,1.646,0.254,2026-06-12T16:34:12Z,1801578
rust,jobserver-0.1.34,success,11.630,1.345,2026-06-12T16:34:14Z,1801576
rust,libm-0.2.16,success,10.006,0.825,2026-06-12T16:34:17Z,1801582
rust,_logs,fetch_failed,0.000,0.000,2026-06-12T16:34:19Z,1801589
rust,lock_api-0.4.14,success,1.682,0.270,2026-06-12T16:34:22Z,1801587
rust,linux-raw-sys-0.12.1,success,2.817,0.222,2026-06-12T16:34:23Z,1801586
rust,lazy_static-1.5.0,build_failed,19.554,0.000,2026-06-12T16:34:22Z,1801579
rust,h2-0.4.14,test_failed,120.215,8.475,2026-06-12T16:34:19Z,1801549
rust,matchers-0.2.0,success,6.149,0.682,2026-06-12T16:34:27Z,1801591
rust,lru-0.18.0,success,4.399,5.931,2026-06-12T16:34:30Z,1801590
rust,linked-hash-map-0.5.6,success,5.249,2.124,2026-06-12T16:34:34Z,1801585
rust,mime-0.3.17,build_failed,0.857,0.000,2026-06-12T16:34:37Z,1801595
rust,log-0.4.30,success,14.387,1.904,2026-06-12T16:34:38Z,1801588
rust,memmap2-0.9.10,success,8.110,1.957,2026-06-12T16:34:37Z,1801594
rust,iana-time-zone-0.1.65,test_failed,14.504,0.575,2026-06-12T16:34:34Z,1801562
rust,minimal-lexical-0.2.1,success,6.257,0.510,2026-06-12T16:34:43Z,1801596
rust,nom-8.0.0,build_failed,4.608,0.000,2026-06-12T16:34:45Z,1801600
rust,mio-1.2.1,success,5.952,0.604,2026-06-12T16:34:47Z,1801597
rust,nu-ansi-term-0.50.3,success,7.546,3.694,2026-06-12T16:34:50Z,1801601
rust,erased-serde-0.4.10,success,114.170,53.728,2026-06-12T16:34:41Z,1801527
rust,libz-sys-1.1.29,success,14.061,0.802,2026-06-12T16:34:54Z,1801584
rust,libz-sys-1.1.28,success,15.256,0.414,2026-06-12T16:34:55Z,1801583
rust,openssl-probe-0.2.1,success,1.896,0.184,2026-06-12T16:35:01Z,1801616
rust,memchr-2.8.1,success,24.560,15.560,2026-06-12T16:35:01Z,1801593
rust,nix-0.31.3,build_failed,11.946,0.000,2026-06-12T16:34:57Z,1801599
rust,num-bigint-0.4.6,success,10.643,5.444,2026-06-12T16:35:00Z,1801602
rust,num_threads-0.1.7,build_failed,0.229,0.000,2026-06-12T16:35:04Z,1801612
rust,percent-encoding-2.3.2,success,2.082,0.687,2026-06-12T16:35:09Z,1801623
rust,pem-rfc7468-1.0.0,success,2.742,0.394,2026-06-12T16:35:09Z,1801622
rust,object-0.39.1,test_failed,14.795,0.136,2026-06-12T16:35:15Z,1801613
rust,num-complex-0.4.6,success,7.489,0.907,2026-06-12T16:35:15Z,1801610
rust,num_cpus-1.17.0,success,13.415,1.432,2026-06-12T16:35:17Z,1801611
rust,native-tls-0.2.18,test_failed,20.910,3.002,2026-06-12T16:35:14Z,1801598
rust,os_str_bytes-7.2.0,success,6.620,5.956,2026-06-12T16:35:23Z,1801619
rust,ordered-float-5.3.0,success,8.933,1.153,2026-06-12T16:35:24Z,1801618
rust,itoa-1.0.18,success,40.228,0.578,2026-06-12T16:35:26Z,1801575
rust,parking_lot-0.12.5,success,14.146,14.132,2026-06-12T16:35:29Z,1801620
rust,pin-project-lite-0.2.17,build_failed,6.806,0.000,2026-06-12T16:35:30Z,1801626
rust,openssl-sys-0.9.116,success,7.109,0.412,2026-06-12T16:35:27Z,1801617
rust,once_cell-1.21.4,success,13.969,18.785,2026-06-12T16:35:34Z,1801614
rust,portable-atomic-1.13.1,build_failed,10.865,0.000,2026-06-12T16:35:35Z,1801629
rust,parking_lot_core-0.9.12,success,4.054,28.304,2026-06-12T16:35:40Z,1801621
