crate,n_attr_ignored,n_cfg_out,ignored_tests
encoding_rs-0.8.35,19,0,big5::tests::test_big5_decode_all;big5::tests::test_big5_encode_all;big5::tests::test_big5_encode_from_two_low_surrogates;euc_jp::tests::test_jis0208_decode_all;euc_jp::tests::test_jis0208_encode_all;euc_jp::tests::test_jis0212_decode_all;euc_kr::tests::test_euc_kr_decode_all;euc_kr::tests::test_euc_kr_encode_all;gb18030::tests::test_gb18030_decode_all;gb18030::tests::test_gb18030_encode_all;iso_2022_jp::tests::test_iso_2022_jp_decode_all;iso_2022_jp::tests::test_iso_2022_jp_encode_all;mem::tests::test_is_char_bidi_thoroughly;mem::tests::test_is_str_bidi_thoroughly;mem::tests::test_is_utf16_bidi_thoroughly;mem::tests::test_is_utf16_code_unit_bidi_thoroughly;mem::tests::test_is_utf8_bidi_thoroughly;shift_jis::tests::test_shift_jis_decode_all;shift_jis::tests::test_shift_jis_encode_all
http-body-1.0.1,0,0,
der-0.8.0,0,0,
dyn-clone-1.0.20,1,0,ui
hashlink-0.11.0,0,0,
atomic-waker-1.1.2,0,0,
futures-util-0.3.32,0,0,
event-listener-5.4.1,0,0,
getrandom-0.4.2,0,0,
inout-0.2.2,0,0,
foldhash-0.2.0,0,0,
is-terminal-0.4.17,0,0,
io-lifetimes-3.0.1,0,0,
erased-serde-0.4.10,1,0,ui
lock_api-0.4.14,0,0,
libc-0.2.186,0,0,
linked-hash-map-0.5.6,0,0,
lru-0.18.0,0,0,
matchers-0.2.0,0,0,
minimal-lexical-0.2.1,0,0,
generic-array-1.4.2,0,0,
lazycell-1.3.0,0,0,
hyper-1.10.1,0,0,
memchr-2.8.1,0,77,arch::all::memchr::tests::qc_memchr1_iter;arch::all::memchr::tests::qc_memchr1_iter_size_hint;arch::all::memchr::tests::qc_memchr1_rev_iter;arch::all::memchr::tests::qc_memchr2_double_ended_iter;arch::all::memchr::tests::qc_memchr2_iter;arch::all::memchr::tests::qc_memchr2_matches_naive;arch::all::memchr::tests::qc_memchr2_rev_iter;arch::all::memchr::tests::qc_memchr3_double_ended_iter;arch::all::memchr::tests::qc_memchr3_iter;arch::all::memchr::tests::qc_memchr3_matches_naive;arch::all::memchr::tests::qc_memchr3_rev_iter;arch::all::memchr::tests::qc_memchr_double_ended_iter;arch::all::memchr::tests::qc_memchr_matches_naive;arch::all::memchr::tests::qc_memrchr2_matches_naive;arch::all::memchr::tests::qc_memrchr3_matches_naive;arch::all::memchr::tests::qc_memrchr_matches_naive;arch::all::rabinkarp::tests::qc_fwd_matches_naive;arch::all::rabinkarp::tests::qc_fwd_prefix_is_substring;arch::all::rabinkarp::tests::qc_fwd_suffix_is_substring;arch::all::rabinkarp::tests::qc_rev_matches_naive;arch::all::rabinkarp::tests::qc_rev_prefix_is_substring;arch::all::rabinkarp::tests::qc_rev_suffix_is_substring;arch::all::shiftor::tests::qc_fwd_matches_naive;arch::all::shiftor::tests::qc_fwd_prefix_is_substring;arch::all::shiftor::tests::qc_fwd_suffix_is_substring;arch::all::twoway::tests::qc_fwd_matches_naive;arch::all::twoway::tests::qc_fwd_prefix_is_substring;arch::all::twoway::tests::qc_fwd_suffix_is_substring;arch::all::twoway::tests::qc_rev_matches_naive;arch::all::twoway::tests::qc_rev_prefix_is_substring;arch::all::twoway::tests::qc_rev_suffix_is_substring;arch::all::twoway::tests::qc_suffix_forward_maximal;arch::all::twoway::tests::qc_suffix_reverse_maximal;arch::x86_64::avx2::memchr::tests::qc_memchr1_iter;arch::x86_64::avx2::memchr::tests::qc_memchr1_iter_size_hint;arch::x86_64::avx2::memchr::tests::qc_memchr1_rev_iter;arch::x86_64::avx2::memchr::tests::qc_memchr2_double_ended_iter;arch::x86_64::avx2::memchr::tests::qc_memchr2_iter;arch::x86_64::avx2::memchr::tests::qc_memchr2_matches_naive;arch::x86_64::avx2::memchr::tests::qc_memchr2_rev_iter;arch::x86_64::avx2::memchr::tests::qc_memchr3_double_ended_iter;arch::x86_64::avx2::memchr::tests::qc_memchr3_iter;arch::x86_64::avx2::memchr::tests::qc_memchr3_matches_naive;arch::x86_64::avx2::memchr::tests::qc_memchr3_rev_iter;arch::x86_64::avx2::memchr::tests::qc_memchr_double_ended_iter;arch::x86_64::avx2::memchr::tests::qc_memchr_matches_naive;arch::x86_64::avx2::memchr::tests::qc_memrchr2_matches_naive;arch::x86_64::avx2::memchr::tests::qc_memrchr3_matches_naive;arch::x86_64::avx2::memchr::tests::qc_memrchr_matches_naive;arch::x86_64::avx2::packedpair::tests::qc_fwd_matches_naive;arch::x86_64::avx2::packedpair::tests::qc_fwd_prefix_is_substring;arch::x86_64::avx2::packedpair::tests::qc_fwd_suffix_is_substring;arch::x86_64::sse2::memchr::tests::qc_memchr1_iter;arch::x86_64::sse2::memchr::tests::qc_memchr1_iter_size_hint;arch::x86_64::sse2::memchr::tests::qc_memchr1_rev_iter;arch::x86_64::sse2::memchr::tests::qc_memchr2_double_ended_iter;arch::x86_64::sse2::memchr::tests::qc_memchr2_iter;arch::x86_64::sse2::memchr::tests::qc_memchr2_matches_naive;arch::x86_64::sse2::memchr::tests::qc_memchr2_rev_iter;arch::x86_64::sse2::memchr::tests::qc_memchr3_double_ended_iter;arch::x86_64::sse2::memchr::tests::qc_memchr3_iter;arch::x86_64::sse2::memchr::tests::qc_memchr3_matches_naive;arch::x86_64::sse2::memchr::tests::qc_memchr3_rev_iter;arch::x86_64::sse2::memchr::tests::qc_memchr_double_ended_iter;arch::x86_64::sse2::memchr::tests::qc_memchr_matches_naive;arch::x86_64::sse2::memchr::tests::qc_memrchr2_matches_naive;arch::x86_64::sse2::memchr::tests::qc_memrchr3_matches_naive;arch::x86_64::sse2::memchr::tests::qc_memrchr_matches_naive;arch::x86_64::sse2::packedpair::tests::qc_fwd_matches_naive;arch::x86_64::sse2::packedpair::tests::qc_fwd_prefix_is_substring;arch::x86_64::sse2::packedpair::tests::qc_fwd_suffix_is_substring;memmem::tests::qc_fwd_matches_naive;memmem::tests::qc_fwd_prefix_is_substring;memmem::tests::qc_fwd_suffix_is_substring;memmem::tests::qc_rev_matches_naive;memmem::tests::qc_rev_prefix_is_substring;memmem::tests::qc_rev_suffix_is_substring
hostname-0.4.2,0,0,
num-complex-0.4.6,0,0,
httparse-1.10.1,1,4,simd::avx2::avx2_code_matches_header_value_chars_table;simd::avx2::avx2_code_matches_uri_chars_table;simd::sse42::sse_code_matches_header_value_chars_table;simd::sse42::sse_code_matches_uri_chars_table;tests::test_all_utf8_char_in_paths
log-0.4.30,1,0,tests::test_static_max_level_release
nu-ansi-term-0.50.3,0,0,
mio-1.2.1,0,0,
percent-encoding-2.3.2,0,0,
hashbrown-0.17.1,2,5,default;map::test_map::test_lots_of_insertions;map::test_map::test_try_reserve;max;random_state;test_hashset_insert_remove;zero
pem-rfc7468-1.0.0,0,0,
parking_lot_core-0.9.12,0,0,
once_cell-1.21.4,1,0,sync_once_cell::reentrant_init
indexmap-2.14.0,0,0,
ordered-float-5.3.0,0,0,
os_str_bytes-7.2.0,0,0,
radium-1.1.1,0,0,
ppv-lite86-0.2.21,0,10,x86_64::sse2::test::test_bswap32_s2_vs_s3;x86_64::sse2::test::test_bswap64_s2_vs_s3;x86_64::sse2::test::test_lanes_u32x4;x86_64::sse2::test::test_lanes_u64x2;x86_64::sse2::test::test_shuffle32_s2_vs_s3;x86_64::sse2::test::test_shuffle64_s2_vs_s3;x86_64::sse2::test::test_vec2_u64x2_s2;x86_64::sse2::test::test_vec4_u32x4_s2;x86_64::sse2::test::test_vec4_u32x4_s4;x86_64::sse2::test::test_vec4_u64x2_s4
powerfmt-0.2.0,0,0,
half-2.7.1,8,0,bfloat::test::round_to_even_f32;bfloat::test::round_to_even_f64;bfloat::test::test_bf16_to_f64;binary16::test::round_to_even_f32;binary16::test::round_to_even_f64;binary16::test::test_f16_consts;binary16::test::test_f16_to_f32;binary16::test::test_f16_to_f64
generic-array-1.4.3,0,0,
itoa-1.0.18,0,0,
object-0.39.1,0,0,
predicates-3.1.4,0,0,
scopeguard-1.2.0,0,0,
r-efi-6.0.0,0,0,
shlex-2.0.1,0,0,
siphasher-1.0.3,0,0,
proc-macro2-1.0.106,4,0,make_sure_no_proc_macro;test_proc_macro2_fallback_size_with_locations;test_proc_macro2_fallback_size_without_locations;test_proc_macro2_wrapper_size_with_locations
serde_bytes-0.11.19,0,0,
socket2-0.6.4,0,0,
redox_syscall-0.8.0,0,0,
gimli-0.33.0,0,0,
rand-0.10.1,13,0,distr::bernoulli::test::test_average;distr::uniform::float::tests::test_floats;distr::uniform::int::tests::test_integers;distr::uniform::other::tests::test_char;distr::uniform::other::tests::test_durations;distr::weighted::weighted_index::test::test_weightedindex;rng::test::test_gen_ratio_average;seq::index_::test::test_sample_alg;seq::iterator::test::test_iterator_choose;seq::iterator::test::test_iterator_choose_stable;seq::iterator::test::test_iterator_choose_stable_stability;seq::slice::test::test_shuffle;seq::slice::test::test_weighted
slab-0.4.12,0,0,
petgraph-0.8.3,5,0,iso_large;iso_subgraph;iter_subgraph;praust_dir_no_iso;praust_undir_no_iso
stable_deref_trait-1.2.1,0,0,
serde_core-1.0.228,0,0,
semver-1.0.28,0,0,
subtle-2.6.1,0,0,
rustversion-1.0.22,1,0,ui
sync_wrapper-1.0.2,0,0,
tempfile-3.27.0,0,0,
quinn-udp-0.6.1,0,0,
tracing-core-0.1.36,0,0,
