crate,test,rust_status,rust_mean_s,rust_min_s,rust_max_s,miri_status,miri_mean_s,miri_min_s,miri_max_s,bsan_status,bsan_mean_s,bsan_min_s,bsan_max_s
crossbeam-channel-0.5.15,select_tests::oneshot_data_waiting,success,0.1193379709,0.11648754700000001,0.124278992,success,13.960638682199999,13.841959646,14.127430143,,,,
crossbeam-channel-0.5.15,select_tests::preflight1,success,0.11871444410000001,0.116752383,0.122038743,success,13.7935365338,13.703410715,13.925452328,,,,
crossbeam-channel-0.5.15,select_tests::preflight2,success,0.11912059370000003,0.11417676,0.128124063,success,13.849466458399998,13.729729098,13.950395096,,,,
crossbeam-channel-0.5.15,select_tests::preflight3,success,0.119620448,0.116021386,0.12457171,success,14.268663843999999,14.099384837,14.530996753,,,,
crossbeam-channel-0.5.15,select_tests::preflight4,success,0.1180643021,0.11466905100000001,0.12118484900000001,success,13.874159001399999,13.713683175,14.087897442,,,,
crossbeam-channel-0.5.15,select_tests::preflight5,success,0.119903274,0.11432093200000001,0.12551995800000001,success,13.7830607356,13.501968873,14.08603575,,,,
crossbeam-channel-0.5.15,select_tests::preflight6,success,0.11963503900000001,0.117342761,0.12315174400000001,success,13.870066821200002,13.838005855,13.922188873,,,,
crossbeam-channel-0.5.15,select_tests::preflight7,success,0.12005297070000001,0.11461157500000001,0.130365388,success,13.8687640676,13.754065502,13.97317768,,,,
crossbeam-channel-0.5.15,select_tests::preflight8,success,0.11832364880000001,0.11481340500000001,0.123833041,success,13.988836344800001,13.869728209,14.099472923,,,,
crossbeam-channel-0.5.15,select_tests::preflight9,success,0.11962774310000002,0.11759018700000001,0.124673481,success,13.931140251800002,13.815686354,14.16737407,,,,
crossbeam-channel-0.5.15,select_tests::shared_data_waiting,success,0.11998643629999999,0.113393694,0.12704564200000001,success,14.4186425722,13.951232454,14.746547834,,,,
crossbeam-channel-0.5.15,select_tests::smoke,success,0.12139778679999999,0.11788458600000001,0.126344748,success,13.7727879618,13.577842625,13.945517216,,,,
crossbeam-channel-0.5.15,select_tests::smoke2,success,0.1183528764,0.11555046100000001,0.121754781,success,13.912584839600001,13.799053014,14.358072595,,,,
crossbeam-channel-0.5.15,select_tests::stream_data_waiting,success,0.1188865674,0.11385415500000001,0.126482165,success,13.8554115228,13.68861251,13.99846102,,,,
crossbeam-channel-0.5.15,select_tests::stress,success,0.1762477323,0.153313582,0.24706272,success,19.603629807799997,19.441151876,19.816660454,,,,
crossbeam-channel-0.5.15,select_tests::sync1,success,0.11830690419999998,0.11485614000000001,0.12443670300000001,success,14.1426182232,13.651548836,14.590665232,,,,
crossbeam-channel-0.5.15,select_tests::sync2,success,0.1244808366,0.116548858,0.165987682,success,13.8840445442,13.655791252,14.325135187,,,,
