crate,test,rust_status,rust_mean_s,rust_min_s,rust_max_s,miri_status,miri_mean_s,miri_min_s,miri_max_s,aa4e1ea-bsan_status,aa4e1ea-bsan_mean_s,aa4e1ea-bsan_min_s,aa4e1ea-bsan_max_s
anyhow-1.0.102,test_iter,success,0.19339852710000002,0.191728789,0.197015838,success,11.4725558794,11.31393774,11.619006091,success,15.4575160372,15.235392575,15.634631806
anyhow-1.0.102,test_large_alignment,success,0.1947774716,0.18821821100000002,0.204183622,success,11.5323890242,11.360663158,11.658217023,success,15.483364376399999,15.190847322,15.692406831
anyhow-1.0.102,test_len,success,0.1947525758,0.18850238500000002,0.201810379,success,11.409824110799999,11.249697561,11.613433677,success,15.4823738292,15.301104533,15.589177399
anyhow-1.0.102,test_literal_source,success,0.19091888029999998,0.186817339,0.197320978,success,12.1681903182,11.72859907,12.781356897,success,15.482347397000002,15.30589192,15.619222973
anyhow-1.0.102,test_loop,success,0.1937680624,0.19064212800000002,0.206023016,success,11.8154652012,11.652514147,11.984143822,success,15.421552102600003,15.277248049,15.5887056
anyhow-1.0.102,test_low_precedence_binary_operator,success,0.19482375359999998,0.18993283300000002,0.20154814000000001,success,11.6620674728,11.542266019,11.806408472,success,15.7169552004,15.452790528,15.921790212
anyhow-1.0.102,test_low_precedence_control_flow,success,0.19469274450000001,0.189621552,0.19943286000000002,success,11.5372312474,11.365791173,11.624235305,success,15.4930409448,15.26598346,15.693477175
anyhow-1.0.102,test_macro,success,0.1950384161,0.18965183300000002,0.20549979300000001,success,11.648925565799999,11.503171039,11.790580991,success,15.5309249068,15.176579131,15.787208017
anyhow-1.0.102,test_match,success,0.1934089732,0.184638078,0.20562492100000002,success,11.682420621,11.598812228,11.906153862,success,15.6142013448,15.445771008,15.741970801
anyhow-1.0.102,test_messages,success,0.19462153350000003,0.183233646,0.214386558,success,11.591197335,11.494063802,11.760024884,success,15.6019284612,15.554800612,15.72011444
anyhow-1.0.102,test_null_pointer_optimization,success,0.1912089163,0.184959589,0.200450968,success,11.433775279199999,11.245726247,11.599066814,success,15.6984932278,15.517691938,15.996967325
