crate,trees,nodes,avg_nodes,read,avg_read (max),write,avg_write (max),visited,avg_visited (max),skipped,avg_skipped (max),gc_invoked,gc_pruned,avg_gc_pruned,exposures,memory_kinds
hostname-0.4.2,"1,189,897","8,466,709","7.1 (1,662,693)","3,849,750","3.2 (151,279)","2,231,153","1.9 (4,620)","614,201,635","516.2 (257,187,704)","16,156,927,045","13578.4 (14,049,533,693)","2,672","3,923,249","3.3 (1,370,772)","654,341",{}
http-body-1.0.1,"68,543","618,601","9.0 (32,187)","180,783","2.6 (3,289)","113,789",1.7 (391),"28,465,481","415.3 (3,124,745)","15,153,679","221.1 (1,848,969)",146,"286,891","4.2 (30,196)","4,995",{}
httparse-1.10.1,"13,677,135","115,865,610","8.5 (31,585)","38,478,798","2.8 (3,289)","24,701,627",1.8 (786),"5,066,470,243","370.4 (3,028,526)","3,645,446,777","266.5 (1,790,698)","27,169","54,309,159","4.0 (29,634)","906,988",{}
hyper-1.10.1,"68,164","615,560","9.0 (32,187)","179,887","2.6 (3,289)","113,323",1.7 (391),"28,770,145","422.1 (3,125,690)","15,130,247","222.0 (1,865,049)",144,"282,205","4.1 (30,196)","4,975",{}
indexmap-2.14.0,"5,821,783","52,928,128","9.1 (31,597)","15,394,807","2.6 (3,289)","9,693,283",1.7 (391),"2,513,070,154","431.7 (3,053,148)","1,316,137,446","226.1 (1,796,151)","12,534","24,448,506","4.2 (29,646)","437,423",{}
inout-0.2.2,"34,292","310,022","9.0 (32,187)","90,561","2.6 (3,289)","56,974",1.7 (391),"14,347,992","418.4 (3,216,865)","7,583,257","221.1 (1,849,174)",73,"143,592","4.2 (30,196)","2,532",{}
is-terminal-0.4.17,"205,919","1,857,445","9.0 (32,187)","544,017","2.6 (3,289)","342,382",1.7 (391),"86,976,074","422.4 (3,169,118)","44,909,911","218.1 (1,863,156)",438,"867,055","4.2 (30,196)","14,947",{}
itertools-0.14.0,"5,410,245","49,159,295","9.1 (31,597)","14,312,255","2.6 (3,289)","9,013,405",1.7 (391),"2,349,626,585","434.3 (3,053,311)","1,219,583,842","225.4 (1,796,161)","11,632","22,735,956","4.2 (29,646)","406,050",{}
itoa-1.0.18,"378,288","3,410,565","9.0 (32,187)","999,956","2.6 (3,289)","630,228",1.7 (391),"159,332,137","421.2 (3,216,865)","83,746,996","221.4 (1,849,174)",803,"1,578,709","4.2 (30,196)","27,441",{}
lazycell-1.3.0,"969,635","8,704,851","9.0 (32,187)","2,578,134","2.7 (3,289)","1,628,010",1.7 (391),"410,937,942","423.8 (3,138,687)","209,919,481","216.5 (1,825,231)","2,072","3,948,499","4.1 (30,196)","70,061",{}
libc-0.2.186,"195,055","1,778,368","9.1 (31,977)","516,135","2.6 (3,289)","324,307",1.7 (391),"85,338,131","437.5 (3,142,672)","44,699,854","229.2 (1,854,305)",420,"819,916","4.2 (29,986)","14,562",{}
linked-hash-map-0.5.6,"883,412","7,835,339","8.9 (31,977)","2,358,684","2.7 (3,289)","1,497,477",1.7 (391),"365,313,674","413.5 (3,155,096)","190,162,956","215.3 (1,860,152)","1,811","3,537,567","4.0 (29,986)","69,208",{}
log-0.4.30,"1,071,914","9,703,021","9.1 (32,187)","2,835,907","2.6 (3,289)","1,783,020",1.7 (391),"458,963,308","428.2 (3,169,061)","238,844,593","222.8 (1,863,142)","2,314","4,558,314","4.3 (30,196)","78,350",{}
lru-0.18.0,"4,710,594","49,855,256","10.6 (2,818,580)","16,983,053","3.6 (830,440)","9,094,207","1.9 (79,635)","2,122,435,456","450.6 (232,893,210)","1,964,099,820","417.0 (337,268,768)","12,966","23,868,736","5.1 (2,817,733)","1,161,699",{}
matchers-0.2.0,"4,162,797","43,658,655","10.5 (379,963)","11,859,502","2.8 (44,940)","6,568,318","1.6 (29,997)","1,496,731,464","359.5 (17,793,719)","9,766,111,235","2346.0 (404,719,006)","9,334","27,831,544","6.7 (375,071)","1,615,844",{}
memchr-2.8.1,"9,135,992","70,949,979","7.8 (363,825)","23,574,650","2.6 (43,985)","16,447,774","1.8 (11,280)","3,175,250,326","347.6 (268,810,545)","1,016,481,298","111.3 (29,701,049)","19,567","12,939,211","1.4 (362,325)","1,742,249",{}
minimal-lexical-0.2.1,"1,282,442","11,576,246","9.0 (32,187)","3,404,732","2.7 (3,289)","2,148,742",1.7 (391),"553,414,345","431.5 (3,169,644)","284,566,886","221.9 (1,863,339)","2,738","5,294,249","4.1 (30,196)","99,977",{}
nu-ansi-term-0.50.3,"2,288,060","20,853,839","9.1 (31,977)","6,057,048","2.6 (3,289)","3,801,937",1.7 (391),"985,450,977","430.7 (3,152,148)","524,015,168","229.0 (1,858,644)","4,971","9,853,352","4.3 (29,986)","170,031",{}
num-complex-0.4.6,"3,320,804","29,205,435","8.8 (31,977)","8,978,270","2.7 (3,289)","5,699,791",1.7 (625),"1,364,972,220","411.0 (3,137,094)","743,392,041","223.9 (1,839,724)","6,822","13,384,710","4.0 (29,986)","230,447",{}
object-0.39.1,"725,524","22,080,869","30.4 (10,631,089)","7,905,972","10.9 (3,543,695)","4,799,512","6.6 (1,181,234)","513,630,308","707.9 (164,189,206)","18,872,797,718","26012.6 (12,313,127,649)","2,899","18,519,561","25.5 (10,626,962)","58,994",{}
once_cell-1.21.4,"2,825,456","24,743,574","8.8 (281,068)","7,433,344","2.6 (24,237)","4,724,664","1.7 (1,060)","1,120,723,506","396.7 (12,363,723)","618,382,536","218.9 (13,610,574)","5,677","11,452,850","4.1 (264,980)","212,703",{}
ordered-float-5.3.0,"3,767,552","28,000,433","7.4 (601,596)","13,755,162","3.7 (290,000)","9,393,702","2.5 (200,000)","1,198,399,575","318.1 (31,103,132)","646,666,050","171.6 (37,780,706)","6,407","11,891,653","3.2 (601,452)","559,173",{}
