crate,trees,nodes,avg_nodes,read,avg_read (max),write,avg_write (max),visited,avg_visited (max),skipped,avg_skipped (max),gc_invoked,gc_pruned,avg_gc_pruned,exposures
matchers-0.2.0,"4,073,680","42,746,351","10.5 (826,205)","11,845,541","2.9 (90,442)","6,544,834","1.6 (59,994)","1,471,020,736","361.1 (47,447,391)","10,485,227,237","2573.9 (818,260,431)","9,259","27,628,719","6.8 (749,640)","1,521,663"
memchr-2.8.1,"103,894,906","2,128,732,737","20.5 (36,693,149)","459,619,136","4.4 (4,381,944)","225,870,663","2.2 (1,346,203)","103,283,448,366","994.1 (28,937,524,533)","173,167,168,308","1666.8 (3,732,790,920)","687,572","1,388,438,518","13.4 (36,692,988)","21,610,467"
minimal-lexical-0.2.1,"1,276,832","10,436,364","8.2 (1,196,886)","3,317,167","2.6 (124,982)","2,142,541","1.7 (14,858)","528,972,571","414.3 (109,628,632)","387,844,384","303.8 (122,592,788)","2,702","5,044,386","4.0 (1,122,710)","98,315"
nu-ansi-term-0.50.3,"2,293,222","18,882,165","8.2 (2,219,490)","5,938,693","2.6 (230,230)","3,810,976","1.7 (27,370)","953,085,892","415.6 (203,767,130)","711,420,914","310.2 (223,405,840)","4,834","9,522,673","4.2 (2,082,850)","170,051"
num-complex-0.4.6,"3,343,366","26,787,748","8.0 (2,918,148)","8,834,465","2.6 (302,588)","5,720,505","1.7 (35,972)","1,326,712,223","396.8 (276,228,068)","983,433,968","294.1 (293,248,896)","6,820","12,880,012","3.9 (2,738,564)","229,673"
object-0.39.1,"724,799","21,109,002","29.1 (10,412,713)","7,742,130","10.7 (3,470,903)","4,727,300","6.5 (1,156,970)","495,157,699","683.2 (160,816,533)","18,544,513,376","25585.7 (12,063,440,971)","2,836","18,058,669","24.9 (10,409,354)","58,607"
once_cell-1.21.4,"1,406,782","11,259,545","8.0 (1,196,886)","3,628,024","2.6 (124,982)","2,368,842","1.7 (14,858)","541,591,749","385.0 (109,390,942)","414,540,207","294.7 (122,649,560)","2,862","5,428,126","3.9 (1,122,710)","99,357"
ordered-float-5.3.0,"3,782,552","26,041,465","6.9 (2,250,487)","13,639,224","3.6 (290,177)","9,414,750","2.5 (200,143)","1,163,652,963","307.6 (180,287,318)","842,185,657","222.7 (226,808,861)","6,414","11,387,498","3.0 (2,111,895)","177,610"
parking_lot_core-0.9.12,"29,434,847","199,286,505","6.8 (4,226,738)","55,431,890","1.9 (197,851)","42,437,406","1.4 (80,921)","4,404,299,427","149.6 (258,512,414)","111,734,762,384","3796.0 (73,133,835,181)","24,688","48,980,910","1.7 (2,810,151)","3,043,478"
pem-rfc7468-1.0.0,"486,650","3,772,900","7.8 (469,575)","1,241,711","2.6 (49,335)","810,025","1.7 (5,865)","200,951,727","412.9 (43,010,340)","151,965,890","312.3 (47,498,730)","1,020","2,026,467","4.2 (440,295)","36,340"
percent-encoding-2.3.2,"640,802","5,193,812","8.1 (569,124)","1,657,659","2.6 (59,202)","1,073,882","1.7 (7,038)","249,557,770","389.4 (50,957,460)","187,031,969","291.9 (58,424,202)","1,308","2,455,277","3.8 (533,988)","47,186"
petgraph-0.8.3,"11,511,681","96,963,066","8.4 (9,864,192)","31,666,164","2.8 (1,026,168)","19,664,653","1.7 (121,992)","4,887,908,396","424.6 (906,320,064)","28,276,289,152","2456.3 (13,127,148,511)","24,680","46,551,309","4.0 (9,255,168)","1,434,147"
ppv-lite86-0.2.21,"65,832","509,684","7.7 (63,370)","168,358","2.6 (6,578)","109,722",1.7 (782),"26,476,119","402.2 (5,501,076)","20,468,394","310.9 (6,403,222)",140,"274,294","4.2 (59,466)","4,854"
predicates-3.1.4,"657,176","5,352,298","8.1 (602,433)","1,705,420","2.6 (62,491)","1,098,966","1.7 (7,429)","265,570,156","404.1 (56,953,241)","194,559,165","296.1 (60,478,273)","1,369","2,638,954","4.0 (565,345)","47,884"
proc-macro2-1.0.106,"2,234,784","18,193,868","8.1 (2,156,076)","5,779,179","2.6 (223,652)","3,718,793","1.7 (26,588)","935,457,834","418.6 (203,833,876)","693,149,412","310.2 (216,437,472)","4,765","9,266,075","4.1 (2,023,340)","165,385"
quinn-udp-0.6.1,"366,514","2,958,299","8.1 (348,777)","945,833","2.6 (36,179)","609,991","1.7 (4,301)","155,333,577","423.8 (32,942,085)","111,606,628","304.5 (34,801,932)",780,"1,464,989","4.0 (327,305)","27,429"
r-efi-6.0.0,"150,197","1,195,761","8.0 (125,220)","423,065","2.8 (13,156)","278,368","1.9 (1,564)","56,151,125","373.8 (11,449,296)","41,306,952","275.0 (12,666,636)",292,"541,795","3.6 (117,412)","9,954"
radium-1.1.1,"307,076","2,490,833","8.1 (280,053)","791,921","2.6 (29,601)","512,544","1.7 (3,519)","120,814,758","393.4 (24,363,351)","91,338,808","297.4 (28,340,775)",648,"1,243,194","4.0 (262,845)","22,528"
rand-0.10.1,"4,828,164","41,152,789","8.5 (2,695,095)","13,372,686","2.8 (279,565)","8,391,819","1.7 (78,047)","1,601,450,771","331.7 (252,362,535)","18,992,480,051","3933.7 (17,878,552,867)","8,664","14,521,786","3.0 (2,529,175)","748,389"
redox_syscall-0.8.0,"35,147","277,120","7.9 (31,141)","89,566","2.5 (3,289)","58,486",1.7 (391),"13,946,068","396.8 (2,889,204)","11,009,106","313.2 (3,157,922)",75,"140,283","4.0 (29,229)","2,546"
rustversion-1.0.22,"69,247","542,561","7.8 (62,994)","180,523","2.6 (6,578)","115,981",1.7 (782),"27,165,105","392.3 (5,766,514)","20,528,782","296.5 (6,366,016)",141,"274,111","4.0 (59,090)","4,907"
ryu-1.0.23,"1,025,954","8,631,472","8.4 (950,550)","2,673,970","2.6 (101,544)","1,705,276","1.7 (11,730)","420,278,883","409.6 (76,203,180)","314,995,019","307.0 (95,701,740)","2,149","4,120,113","4.0 (891,990)","76,062"
scopeguard-1.2.0,"275,720","2,239,699","8.1 (251,976)","712,111","2.6 (26,312)","460,375","1.7 (3,128)","110,649,438","401.3 (23,088,432)","81,858,922","296.9 (25,432,856)",570,"1,103,649","4.0 (236,360)","19,991"
semver-1.0.28,"1,445,526","11,864,508","8.2 (1,036,420)","4,472,157","3.1 (367,514)","2,227,200","1.5 (52,502)","524,562,067","362.9 (93,075,082)","21,616,597,981","14954.1 (15,160,766,282)","2,597","5,485,855","3.8 (922,777)","461,151"
serde_bytes-0.11.19,"137,606","1,102,645","8.0 (125,988)","354,624","2.6 (13,156)","228,715","1.7 (1,564)","54,746,239","397.8 (11,534,968)","41,158,919","299.1 (12,905,904)",287,"549,410","4.0 (118,180)","9,977"
serde_core-1.0.228,"39,216","328,644","8.4 (31,707)","99,371","2.5 (3,289)","67,988",1.7 (914),"14,788,286","377.1 (2,997,662)","10,379,784","264.7 (3,182,633)",77,"138,727","3.5 (29,755)","3,764"
serde_json-1.0.150,"4,842,063","37,314,382","7.7 (3,765,157)","13,298,357","2.7 (397,969)","8,369,391","1.7 (47,311)","1,820,875,615","376.1 (337,240,189)","1,395,670,549","288.2 (383,450,210)","9,738","16,995,179","3.5 (3,533,805)","417,238"
serde_with-3.20.0,"4,715,501","41,047,203","8.7 (3,526,818)","12,920,023","2.7 (374,986)","8,122,271","1.7 (44,574)","2,224,235,630","471.7 (317,357,304)","13,067,938,008","2771.3 (7,577,772,605)","11,731","21,297,005","4.5 (3,308,850)","510,896"
shlex-2.0.1,"261,299","2,086,065","8.0 (220,479)","682,877","2.6 (23,023)","434,251","1.7 (2,737)","102,284,344","391.4 (20,193,488)","72,756,909","278.4 (22,255,737)",529,"955,676","3.7 (206,815)","31,309"
siphasher-1.0.3,"450,984","3,644,076","8.1 (412,191)","1,251,510","2.8 (42,757)","811,009","1.8 (10,829)","187,633,308","416.1 (38,965,043)","133,829,780","296.8 (41,380,183)",946,"1,757,699","3.9 (386,815)","32,460"
slab-0.4.12,"1,666,157","13,487,750","8.1 (1,490,229)","4,352,174","2.6 (154,583)","2,812,940","1.7 (18,377)","676,900,377","406.3 (138,120,733)","494,742,109","296.9 (152,415,078)","3,493","6,397,759","3.8 (1,398,485)","122,602"
