crate,trees,nodes,avg_nodes,read,avg_read (max),write,avg_write (max),visited,avg_visited (max),skipped,avg_skipped (max),gc_invoked,gc_pruned,avg_gc_pruned,exposures,memory_kinds
tracing-core-0.1.36,"858,398","6,819,280","7.9 (32,187)","2,192,488","2.6 (3,289)","1,428,004",1.7 (391),"258,169,742","300.8 (2,336,986)","83,742,464","97.6 (646,721)","1,463","2,822,004","3.3 (30,487)",0,{}
tracing-log-0.2.0,"228,540","1,812,180","7.9 (31,441)","582,980","2.6 (3,289)","381,099",1.7 (391),"69,040,207","302.1 (2,302,234)","21,635,189","94.7 (644,656)",394,"743,111","3.3 (29,785)",0,{}
tungstenite-0.29.0,"1,570,737","12,085,129","7.7 (31,989)","4,052,669","2.6 (3,289)","2,639,690",1.7 (391),"455,056,474","289.7 (2,346,366)","146,267,413","93.1 (642,223)","2,653","4,746,027","3.0 (30,289)",0,{}
twox-hash-2.1.2,"3,008,682","28,333,223","9.4 (1,195,724)","9,066,147","3.0 (103,878)","5,583,107","1.9 (31,531)","1,132,919,186","376.5 (85,711,553)","634,390,805","210.9 (88,693,802)","7,051","16,586,878","5.5 (1,195,187)",0,{}
unicode-bidi-0.3.18,"1,512,482","11,399,184","7.5 (32,187)","3,972,176","2.6 (3,289)","2,492,631",1.6 (391),"362,677,188","239.8 (1,881,778)","133,631,182","88.4 (642,239)","2,263","4,209,763","2.8 (30,487)",0,{}
unicode-normalization-0.1.25,"12,903,865","75,140,411","5.8 (17,029,237)","33,677,585","2.6 (3,164,711)","23,349,469","1.8 (1,183,618)","992,217,291","76.9 (404,083,924)","300,420,091","23.3 (103,162,421)","6,479","3,434,817","0.3 (1,755,860)",0,{}
url-2.5.8,"300,758,098","1,722,353,426","5.7 (1,730,600)","923,759,992","3.1 (1,271,901)","512,282,142","1.7 (144,037)","97,428,879,892","323.9 (293,864,140)","224,963,991,057","748.0 (2,914,396,487)","639,943","772,977,805","2.6 (1,728,629)",0,{}
urlencoding-2.1.3,"314,304","2,463,845","7.8 (32,005)","803,492","2.6 (3,289)","524,223",1.7 (391),"90,431,984","287.7 (2,273,834)","29,261,180","93.1 (644,225)",523,"988,486","3.1 (30,307)",0,{}
utf8_iter-1.0.4,"68,241","539,405","7.9 (32,187)","174,054","2.6 (3,289)","113,628",1.7 (391),"20,143,610","295.2 (2,332,445)","6,402,718","93.8 (644,112)",116,"220,974","3.2 (30,487)",0,{}
utf8parse-0.2.2,"178,693","965,244","5.4 (344,861)","420,864","2.4 (42,158)","269,270","1.5 (24,246)","24,627,805","137.8 (12,061,543)","114,543,049","641.0 (76,264,179)",155,"552,201","3.1 (343,837)",0,{}
uuid-1.23.2,"2,179,692","16,776,602","7.7 (52,340)","5,643,454","2.6 (3,744)","3,687,584",1.7 (391),"625,850,985","287.1 (3,316,400)","211,798,927","97.2 (1,795,659)","3,648","6,668,881","3.1 (51,889)",0,{}
which-8.0.2,"979,005","7,532,907","7.7 (31,977)","2,479,623","2.5 (3,289)","1,637,757",1.7 (391),"268,965,733","274.7 (2,361,345)","82,976,309","84.8 (641,904)","1,546","2,697,645","2.8 (30,277)",0,{}
writeable-0.6.3,"525,095","4,176,512","8.0 (32,187)","1,341,678","2.6 (3,289)","873,542",1.7 (391),"159,087,332","303.0 (2,339,263)","50,868,641","96.9 (644,656)",898,"1,731,850","3.3 (30,487)",0,{}
yansi-1.0.1,"257,185","2,021,002","7.9 (32,187)","660,426","2.6 (3,289)","432,930",1.7 (391),"73,347,570","285.2 (2,348,503)","23,119,281","89.9 (646,967)",420,"785,126","3.1 (30,487)",0,{}
yoke-0.8.2,"392,073","3,110,941","7.9 (31,579)","999,627","2.5 (3,289)","653,170",1.7 (391),"115,734,256","295.2 (2,199,614)","37,725,251","96.2 (645,113)",674,"1,293,666","3.3 (29,923)",0,{}
zeroize-1.8.2,"423,872","3,377,634","8.0 (32,177)","1,082,437","2.6 (3,289)","705,520",1.7 (391),"128,371,788","302.9 (2,317,510)","41,114,466","97.0 (645,113)",729,"1,397,606","3.3 (30,477)",0,{}
