build,crate,status,compile_seconds,run_seconds,timestamp,job_id
base-miri,syn-2.0.117,build_failed,17.374,0.000,2026-06-12T15:56:30Z,1801329
base-miri,spin-0.12.0,success,33.691,87.194,2026-06-12T15:56:42Z,1801326
base-miri,tracing-log-0.2.0,success,32.055,8.248,2026-06-12T15:56:51Z,1801350
base-miri,tonic-0.14.6,test_failed,45.493,13.286,2026-06-12T15:56:55Z,1801344
base-miri,unsafe-libyaml-0.2.11,test_failed,4.636,2.371,2026-06-12T15:57:09Z,1801355
base-miri,urlencoding-2.1.3,success,1.099,3.393,2026-06-12T15:57:23Z,1801360
base-miri,tokio-stream-0.1.18,success,23.804,99.505,2026-06-12T15:57:27Z,1801341
base-miri,utf8_iter-1.0.4,success,1.008,2.343,2026-06-12T15:57:32Z,1801362
base-miri,tracing-attributes-0.1.31,test_failed,71.807,0.919,2026-06-12T15:57:35Z,1801348
base-miri,memchr-2.8.1,success,4.676,484.086,2026-06-12T15:57:47Z,1801227
base-miri,tungstenite-0.29.0,success,46.571,14.787,2026-06-12T15:57:40Z,1801353
base-miri,tokio-1.52.3,test_failed,65.701,1.999,2026-06-12T15:57:43Z,1801339
base-miri,web-sys-0.3.99,success,0.238,0.106,2026-06-12T15:58:00Z,1801368
base-miri,crossbeam-channel-0.5.15,success,7.063,655.461,2026-06-12T15:58:06Z,1801144
base-miri,tokio-util-0.7.18,test_failed,38.192,3.777,2026-06-12T15:58:00Z,1801342
base-miri,wait-timeout-0.2.1,build_failed,3.249,0.000,2026-06-12T15:58:07Z,1801365
base-miri,which-8.0.2,test_failed,7.511,3.247,2026-06-12T15:58:13Z,1801369
base-miri,wasm-bindgen-0.2.122,success,15.798,1.075,2026-06-12T15:58:16Z,1801367
base-miri,tower-http-0.6.11,test_failed,76.914,9.107,2026-06-12T15:58:14Z,1801345
base-miri,tracing-0.1.44,test_failed,47.560,2.718,2026-06-12T15:58:14Z,1801347
base-miri,winapi-util-0.1.11,success,0.624,3.239,2026-06-12T15:58:24Z,1801371
base-miri,windows-strings-0.5.1,test_failed,1.547,4.054,2026-06-12T15:58:25Z,1801374
base-miri,windows-result-0.4.1,test_failed,4.073,1.901,2026-06-12T15:58:25Z,1801373
base-miri,uuid-1.23.2,test_failed,17.362,17.804,2026-06-12T15:58:22Z,1801364
base-miri,windows-sys-0.61.2,success,0.202,0.070,2026-06-12T15:58:30Z,1801375
base-miri,windows-core-0.62.2,success,13.727,1.685,2026-06-12T15:58:35Z,1801372
base-miri,xattr-1.6.1,test_failed,6.283,2.273,2026-06-12T15:58:40Z,1801380
base-miri,zeroize-1.8.2,success,0.882,5.210,2026-06-12T15:58:45Z,1801385
base-miri,yoke-0.8.2,test_failed,13.726,9.480,2026-06-12T15:58:54Z,1801382
base-miri,winapi-0.3.9,success,4.425,1.736,2026-06-12T15:58:53Z,1801370
base-miri,zerocopy-derive-0.8.50,test_failed,20.032,1.102,2026-06-12T15:59:04Z,1801384
base-miri,zerovec-derive-0.11.3,test_failed,21.435,0.644,2026-06-12T15:59:22Z,1801389
base-miri,yansi-1.0.1,success,1.260,56.947,2026-06-12T15:59:29Z,1801381
base-miri,utf8parse-0.2.2,success,0.869,119.110,2026-06-12T15:59:39Z,1801363
base-miri,zstd-safe-7.2.4,test_failed,17.216,1.773,2026-06-12T15:59:51Z,1801394
base-miri,winnow-1.0.3,test_failed,53.279,6.839,2026-06-12T15:59:48Z,1801376
base-miri,zerovec-0.11.6,test_failed,44.864,1.693,2026-06-12T15:59:58Z,1801387
base-miri,tinystr-0.8.3,success,92.963,147.559,2026-06-12T16:00:05Z,1801338
base-miri,zstd-sys-2.0.16+zstd.1.5.7,build_failed,42.674,0.000,2026-06-12T16:00:23Z,1801395
base-miri,base64ct-1.8.3,success,11.271,864.989,2026-06-12T16:00:39Z,1801106
base-miri,writeable-0.6.3,success,32.274,99.880,2026-06-12T16:00:49Z,1801379
base-miri,tokio-native-tls-0.3.1,build_failed,6.012,0.000,2026-06-12T15:59:53Z,1801340
base-miri,zerotrie-0.2.4,test_failed,66.885,5.583,2026-06-12T16:01:02Z,1801386
base-miri,zstd-0.13.3,test_failed,43.920,1.612,2026-06-12T16:01:06Z,1801392
base-miri,tracing-subscriber-0.3.23,test_failed,40.429,309.117,2026-06-12T16:02:11Z,1801351
base-miri,zerocopy-0.8.50,success,18.265,317.421,2026-06-12T16:04:06Z,1801383
base-miri,crypto-bigint-0.7.3,test_failed,43.252,975.874,2026-06-12T16:04:13Z,1801149
base-miri,url-2.5.8,success,18.127,550.700,2026-06-12T16:06:52Z,1801359
base-miri,unicode-normalization-0.1.25,success,3.612,639.554,2026-06-12T16:07:45Z,1801356
base-miri,gimli-0.33.0,success,53.676,1156.958,2026-06-12T16:08:40Z,1801182
base-miri,unicode-ident-1.0.24,test_failed,5.130,865.320,2026-06-12T16:12:00Z,1801358
base-miri,petgraph-0.8.3,success,17.222,1670.824,2026-06-12T16:19:10Z,1801251
base-miri,parking_lot_core-0.9.12,success,3.599,2770.464,2026-06-12T16:36:35Z,1801248
base-miri,num-bigint-0.4.6,test_failed,4.731,6678.453,2026-06-12T17:41:27Z,1801236
base-miri,utf-8-0.7.6,success,0.944,9031.232,2026-06-12T18:27:50Z,1801361
base-miri,brotli-decompressor-5.0.1,test_failed,4.291,11278.277,2026-06-12T18:54:02Z,1801111
base-miri,http-1.4.1,success,16.048,11899.219,2026-06-12T19:07:14Z,1801190
base-miri,sha1-0.11.0,success,7.007,12302.681,2026-06-12T19:18:53Z,1801313
base-miri,zip-8.6.0,test_failed,52.824,13301.723,2026-06-12T19:41:48Z,1801390
base-miri,prettyplease-0.2.37,success,5.908,17540.347,2026-06-12T20:43:26Z,1801261
base-miri,sha2-0.11.0,success,7.123,26742.958,2026-06-12T23:19:34Z,1801315
base-miri,aho-corasick-1.1.4,test_failed,5.787,82365.282,2026-06-13T14:38:51Z,1801119
base-miri,flate2-1.1.9,test_failed,8.367,87866.780,2026-06-13T16:12:16Z,1801168
base-miri,aes-0.9.1,success,3.642,171530.412,2026-06-14T15:24:55Z,1801116
base-miri,curve25519-dalek-4.1.3,success,38.941,190099.743,2026-06-14T20:36:08Z,1801151
