crate,trees,nodes,avg_nodes,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
nix-0.31.3,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
nom-8.0.0,110399,1068101,9.67,246922,2.24,193566,1.75,32902313,298.03,10898097,98.72,455956,4.13
nu-ansi-term-0.50.3,147764,1464358,9.91,340128,2.3,252567,1.71,45287519,306.49,12058730,81.61,529045,3.58
num-complex-0.4.6,162247,1578670,9.73,387158,2.39,284688,1.75,52590213,324.14,121064642,746.17,616435,3.8
num_cpus-1.17.0,9573,95735,10.0,21279,2.22,14494,1.51,3739732,390.65,1191600,124.48,38428,4.01
object-0.39.1,42381,411491,9.71,93924,2.22,71028,1.68,15851720,374.03,4281093,101.01,166587,3.93
once_cell-1.21.4,369624,3425670,9.27,727707,1.97,650164,1.76,63412453,171.56,24906975,67.38,1736030,4.7
openssl-0.10.80,24536,251470,10.25,59113,2.41,46856,1.91,6327416,257.88,9431129,384.38,147849,6.03
openssl-probe-0.2.1,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
openssl-sys-0.9.116,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
ordered-float-5.3.0,4489706,13838896,3.08,10452618,2.33,12260441,2.73,262748336,58.52,70830207,15.78,2082156,0.46
os_str_bytes-7.2.0,17510,163427,9.33,33397,1.91,28421,1.62,7670563,438.07,1408900,80.46,37947,2.17
pem-rfc7468-1.0.0,165014,1534051,9.3,428236,2.6,245494,1.49,195891223,1187.12,63214036,383.08,772715,4.68
percent-encoding-2.3.2,56661,523138,9.23,127748,2.25,95627,1.69,14169355,250.07,3929296,69.35,172249,3.04
petgraph-0.8.3,13105040,212358996,16.2,41327503,3.15,26522546,2.02,12915179781,985.51,42561275818,3247.7,148445121,11.33
polling-3.11.0,18037,181422,10.06,39917,2.21,26768,1.48,7141694,395.95,2400888,133.11,76795,4.26
powerfmt-0.2.0,9558,95698,10.01,21040,2.2,14273,1.49,3699448,387.05,1225901,128.26,37947,3.97
ppv-lite86-0.2.21,11834,122732,10.37,27635,2.34,18851,1.59,4384582,370.51,1555485,131.44,47782,4.04
predicates-3.1.4,186548,1857809,9.96,490854,2.63,341518,1.83,61394958,329.11,205415944,1101.14,1061616,5.69
prettyplease-0.2.37,49166,521631,10.61,96191,1.96,74845,1.52,87003260,1769.58,20109883,409.02,296104,6.02
proc-macro2-1.0.106,246056,2533812,10.3,543918,2.21,407327,1.66,211759882,860.62,53359807,216.86,1145809,4.66
prost-0.14.3,23457,240091,10.24,56424,2.41,44545,1.9,5737773,244.61,16957012,722.9,135301,5.77
quinn-proto-0.11.14,18002,183490,10.19,42784,2.38,32833,1.82,4856057,269.75,5741786,318.95,97557,5.42
quinn-udp-0.6.1,22706,234542,10.33,52797,2.33,36036,1.59,8415093,370.61,2983282,131.39,92646,4.08
r-efi-6.0.0,79790,380437,4.77,161675,2.03,177455,2.22,7055497,88.43,2166596,27.15,97574,1.22
radium-1.1.1,21356,214415,10.04,48973,2.29,36069,1.69,6765211,316.78,2116265,99.09,82757,3.88
rand-0.10.1,2736460,21921286,8.01,6005726,2.19,4979846,1.82,576405867,210.64,287931272,105.22,4896625,1.79
redox_syscall-0.8.0,12397,122925,9.92,26937,2.17,19662,1.59,4505129,363.4,2398187,193.45,53124,4.29
regex-automata-0.4.14,940399,9223286,9.81,2335743,2.48,1812478,1.93,400074743,425.43,1725968874,1835.36,4834891,5.14
reqwest-0.13.4,17934,178297,9.94,42172,2.35,30829,1.72,7818710,435.97,9072087,505.86,64402,3.59
rustix-1.1.4,10577,104217,9.85,23215,2.19,16173,1.53,3894250,368.18,1202720,113.71,41153,3.89
rustls-native-certs-0.8.3,9558,94860,9.92,21129,2.21,14477,1.51,3599293,376.57,1180199,123.48,38891,4.07
rustversion-1.0.22,40506,417752,10.31,91179,2.25,61514,1.52,21167688,522.58,5839924,144.17,177378,4.38
ryu-1.0.23,175591,1768611,10.07,417465,2.38,312087,1.78,68650802,390.97,72262000,411.54,754510,4.3
same-file-1.0.6,9441,93943,9.95,20772,2.2,14176,1.5,3619097,383.34,1159669,122.83,38713,4.1
schannel-0.1.29,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
scopeguard-1.2.0,21760,215808,9.92,48100,2.21,36294,1.67,7146113,328.41,2055763,94.47,85357,3.92
security-framework-3.7.0,8794,90260,10.26,19662,2.24,13002,1.48,3585850,407.76,1212192,137.84,37947,4.32
semver-1.0.28,159467,1846980,11.58,339837,2.13,270482,1.7,196438474,1231.84,41679923,261.37,770072,4.83
