crate,rust_status,rust_seconds,base_miri_status,base_miri_seconds,base_miri_overhead,lazy-alloc_status,lazy-alloc_seconds,lazy-alloc_speedup,lazy-alloc_overhead,visit-gc_status,visit-gc_seconds,visit-gc_speedup,visit-gc_overhead
lazy_static-1.5.0,build_failed,,test_failed,2.567,,test_failed,2.469,1.040,,test_failed,6.669,0.385,
lazycell-1.3.0,success,0.254,success,4.547,17.902,success,4.138,1.099,16.291,success,4.120,1.104,16.220
libc-0.2.186,success,0.424,success,3.810,8.986,success,3.763,1.012,8.875,success,3.403,1.120,8.026
libloading-0.9.0,success,3.680,test_failed,3.074,0.835,test_failed,3.388,0.907,0.921,test_failed,2.673,1.150,0.726
libm-0.2.16,success,0.825,test_failed,2.729,3.308,test_failed,3.173,0.860,3.846,test_failed,2.626,1.039,3.183
libz-sys-1.1.28,success,0.414,success,1.909,4.611,success,2.777,0.687,6.708,success,5.307,0.360,12.819
libz-sys-1.1.29,success,0.802,success,1.173,1.463,success,1.420,0.826,1.771,success,1.820,0.645,2.269
linked-hash-map-0.5.6,success,2.124,success,8.424,3.966,success,10.052,0.838,4.733,success,7.510,1.122,3.536
linux-raw-sys-0.12.1,success,0.222,success,1.658,7.468,success,1.642,1.010,7.396,success,1.537,1.079,6.923
lock_api-0.4.14,success,0.270,success,1.943,7.196,success,2.055,0.945,7.611,success,1.725,1.126,6.389
log-0.4.30,success,1.904,success,9.169,4.816,success,8.759,1.047,4.600,success,8.880,1.033,4.664
lru-0.18.0,success,5.931,success,368.155,62.073,success,338.443,1.088,57.063,success,512.802,0.718,86.461
matchers-0.2.0,success,0.682,success,381.932,560.018,success,353.260,1.081,517.977,success,299.519,1.275,439.177
matchit-0.9.2,build_failed,,test_failed,21.418,,test_failed,19.747,1.085,,test_failed,18.607,1.151,
memchr-2.8.1,success,15.560,success,484.086,31.111,success,447.622,1.081,28.767,success,432.712,1.119,27.809
memmap2-0.9.10,success,1.957,test_failed,1.593,0.814,test_failed,3.111,0.512,1.590,test_failed,1.439,1.107,0.735
mime-0.3.17,build_failed,,build_failed,,,build_failed,,,,build_failed,,,
minimal-lexical-0.2.1,success,0.510,success,31.928,62.604,success,33.626,0.950,65.933,success,28.243,1.130,55.378
mio-1.2.1,success,0.604,success,3.468,5.742,success,2.464,1.407,4.079,success,2.225,1.559,3.684
native-tls-0.2.18,test_failed,3.002,test_failed,2.041,0.680,test_failed,1.731,1.179,0.577,test_failed,1.525,1.338,0.508
nix-0.31.3,build_failed,,test_failed,4.334,,test_failed,5.153,0.841,,test_failed,9.592,0.452,
nom-8.0.0,build_failed,,test_failed,10.674,,test_failed,13.355,0.799,,absent,,,
nu-ansi-term-0.50.3,success,3.694,success,17.013,4.606,success,19.303,0.881,5.226,absent,,,
num-bigint-0.4.6,success,5.444,test_failed,6678.453,1226.755,test_failed,6170.070,1.082,1133.371,test_failed,5984.074,1.116,1099.205
num-complex-0.4.6,success,0.907,test_failed,12.603,13.895,test_failed,13.510,0.933,14.895,test_failed,10.433,1.208,11.503
num_cpus-1.17.0,success,1.432,test_failed,1.473,1.029,test_failed,1.584,0.930,1.106,test_failed,1.496,0.985,1.045
num_threads-0.1.7,build_failed,,build_failed,,,build_failed,,,,build_failed,,,
object-0.39.1,test_failed,0.136,test_failed,6.523,47.963,test_failed,7.408,0.881,54.471,test_failed,9.774,0.667,71.868
once_cell-1.21.4,success,18.785,success,27.745,1.477,success,26.345,1.053,1.402,success,24.796,1.119,1.320
openssl-0.10.80,success,27.354,test_failed,7.045,0.258,test_failed,8.118,0.868,0.297,test_failed,11.884,0.593,0.434
openssl-probe-0.2.1,success,0.184,success,1.387,7.538,success,1.465,0.947,7.962,success,1.264,1.097,6.870
openssl-sys-0.9.116,success,0.412,success,1.844,4.476,success,2.053,0.898,4.983,success,2.348,0.785,5.699
ordered-float-5.3.0,success,1.153,test_failed,95.477,82.807,test_failed,98.998,0.964,85.861,test_failed,92.259,1.035,80.016
os_str_bytes-7.2.0,success,5.956,test_failed,10.641,1.787,test_failed,13.604,0.782,2.284,test_failed,13.877,0.767,2.330
parking_lot-0.12.5,success,14.132,absent,,,absent,,,,absent,,,
parking_lot_core-0.9.12,success,28.304,success,2770.464,97.882,success,2464.993,1.124,87.090,success,4723.464,0.587,166.883
pem-rfc7468-1.0.0,success,0.394,success,13.349,33.881,success,13.959,0.956,35.429,success,8.854,1.508,22.472
percent-encoding-2.3.2,success,0.687,success,5.628,8.192,success,5.777,0.974,8.409,success,4.788,1.175,6.969
petgraph-0.8.3,success,10.902,success,1670.824,153.258,success,1677.762,0.996,153.895,success,1101.020,1.518,100.992
pin-project-1.1.13,build_failed,,success,15.943,,success,14.311,1.114,,success,11.270,1.415,
pin-project-lite-0.2.17,build_failed,,success,8.836,,success,11.775,0.750,,success,7.986,1.106,
plotters-0.3.7,test_failed,21.508,test_failed,3.450,0.160,test_failed,3.961,0.871,0.184,test_failed,3.324,1.038,0.155
polling-3.11.0,success,23.057,test_failed,2.270,0.098,test_failed,2.966,0.765,0.129,test_failed,1.992,1.140,0.086
portable-atomic-1.13.1,build_failed,,test_failed,4.209,,test_failed,4.942,0.852,,test_failed,4.336,0.971,
potential_utf-0.1.5,build_failed,,test_failed,1.446,,test_failed,3.459,0.418,,test_failed,1.043,1.386,
powerfmt-0.2.0,success,0.997,success,2.414,2.421,success,2.571,0.939,2.579,success,2.021,1.194,2.027
ppv-lite86-0.2.21,success,0.938,success,1.628,1.736,success,1.977,0.823,2.108,success,1.673,0.973,1.784
predicates-3.1.4,test_failed,6.891,test_failed,20.680,3.001,test_failed,32.473,0.637,4.712,test_failed,17.290,1.196,2.509
