,,Native Execution,,Miri with TB,,,,,,Lazy Allocator ONLY,,,,,,Lazy Allocator + 20k visit freq GC,,,,,,Lazy Allocator + 20k visit freq GC + 100 node threshold,,,,,,Lazy Alloc + 20k visit GC + 100 node threshold + Multi compaction,,,,,,Lazy Alloc + 20k visit GC + 64 node threshold + Multi compaction,,,,,,Lazy Alloc + 25k visit GC + 64 node threshold + Multi compaction,,,,
,AVERAGE,,20.55,,2922.535,804.725,76.144,57.014,,2953.243,1.162,917.721,,,,2441.147,1.194,758.052,,,,2391.502,1.27,737.084,,,,826.599,1.332,312.072,,,,110.346,1.446,57.771,,,,78.693,1.451,49.846,,
,crate,rust_status,rust_seconds,base_miri_status,base_miri_seconds,base_miri_overhead,base_miri_tests,base_miri_passed,lazy-alloc_status,lazy-alloc_seconds,lazy-alloc_speedup,lazy-alloc_overhead,lazy-alloc_tests,lazy-alloc_passed,no-thresh-visit-gc_status,no-thresh-visit-gc_seconds,no-thresh-visit-gc_speedup,no-thresh-visit-gc_overhead,no-thresh-visit-gc_tests,no-thresh-visit-gc_passed,old-visit-gc_status,old-visit-gc_seconds,old-visit-gc_speedup,old-visit-gc_overhead,old-visit-gc_tests,old-visit-gc_passed,visit-gc_status,visit-gc_seconds,visit-gc_speedup,visit-gc_overhead,visit-gc_tests,visit-gc_passed,visit-gc-Zmiri-tree-gc-min-nodes-64_status,visit-gc-Zmiri-tree-gc-min-nodes-64_seconds,visit-gc-Zmiri-tree-gc-min-nodes-64_speedup,visit-gc-Zmiri-tree-gc-min-nodes-64_overhead,visit-gc-Zmiri-tree-gc-min-nodes-64_tests,visit-gc-Zmiri-tree-gc-min-nodes-64_passed,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_status,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_seconds,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_speedup,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_overhead,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_tests,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_passed
,bumpalo-3.20.3,success,4.158,success,14.323,3.445,52,49,success,15.147,0.946,3.643,52,49,success,18.72,0.765,4.502,52,49,success,16.001,0.895,3.848,52,49,success,13.665,1.048,3.286,52,49,success,13.983,1.024,3.363,52,49,success,16.658,0.86,4.006,52,49
,bytemuck-1.25.0,success,2.489,success,14.107,5.668,43,41,success,13.15,1.073,5.283,43,41,success,20.434,0.69,8.21,43,41,success,22.634,0.623,9.094,43,41,success,14.128,0.999,5.676,43,41,success,17.594,0.802,7.069,43,41,success,15.954,0.884,6.41,43,41
,byteorder-1.5.0,success,8.926,success,58.885,6.597,412,412,success,62.917,0.936,7.049,412,412,success,62.369,0.944,6.987,412,412,success,55.929,1.053,6.266,412,412,success,52.794,1.115,5.915,412,412,success,52.61,1.119,5.894,412,412,success,50.586,1.164,5.667,412,412
,bytes-1.11.1,success,18.255,success,473.222,25.923,1231,1230,success,439.555,1.077,24.079,1231,1230,success,430.279,1.1,23.57,1231,1230,success,373.545,1.267,20.463,1231,1230,success,396.676,1.193,21.73,1231,1230,success,377.9,1.252,20.701,1231,1230,success,352.444,1.343,19.307,1231,1230
,camino-1.2.2,success,5.184,test_failed,21.653,4.177,85,81,test_failed,15.557,1.392,3.001,85,81,test_failed,15.774,1.373,3.043,85,81,test_failed,14.655,1.478,2.827,85,81,test_failed,15.106,1.433,2.914,85,81,test_failed,15.115,1.433,2.916,85,81,test_failed,15.048,1.439,2.903,85,81
,cc-1.2.63,success,1.314,success,10.711,8.151,45,43,success,12.337,0.868,9.389,45,43,success,13.188,0.812,10.037,45,43,success,8.708,1.23,6.627,45,43,success,10.141,1.056,7.718,45,43,success,8.679,1.234,6.605,45,43,success,8.152,1.314,6.204,45,43
,chrono-0.4.44,success,99.954,test_failed,4.179,0.042,287,0,test_failed,5.024,0.832,0.05,287,0,test_failed,5.563,0.751,0.056,287,0,test_failed,3.966,1.054,0.04,287,0,test_failed,4.211,0.992,0.042,287,0,test_failed,4.158,1.005,0.042,287,0,test_failed,3.954,1.057,0.04,287,0
,clap_lex-1.1.0,success,0.477,success,3.446,7.224,18,17,success,4.068,0.847,8.528,18,17,success,5.563,0.619,11.662,18,17,success,3.132,1.1,6.566,18,17,success,3.323,1.037,6.966,18,17,success,3.465,0.995,7.264,18,17,success,3.34,1.032,7.002,18,17
,cmake-0.1.58,test_failed,0.055,test_failed,1.412,25.673,2,0,test_failed,1.477,0.956,26.855,2,0,test_failed,7.555,0.187,137.364,2,0,test_failed,2.135,0.661,38.818,2,0,test_failed,1.299,1.087,23.618,2,0,test_failed,1.351,1.045,24.564,2,0,test_failed,1.354,1.043,24.618,2,0
,colored-3.1.1,test_failed,0.782,test_failed,10.206,13.051,128,19,test_failed,8.605,1.186,11.004,128,19,test_failed,10.725,0.952,13.715,128,19,test_failed,12.273,0.832,15.694,128,19,test_failed,10.273,0.993,13.137,128,19,test_failed,10.518,0.97,13.45,128,19,test_failed,10.535,0.969,13.472,128,19
,combine-4.6.7,build_failed,,test_failed,40.065,,227,224,test_failed,37.925,1.056,,227,224,test_failed,49.33,0.812,,227,224,test_failed,43.112,0.929,,227,224,test_failed,38.478,1.041,,227,224,test_failed,38.715,1.035,,227,224,test_failed,35.971,1.114,,227,224
,concurrent-queue-2.5.0,absent,,success,46.362,,45,45,success,45.442,1.02,,45,45,success,49.057,0.945,,45,45,success,46.088,1.006,,45,45,success,44.22,1.048,,45,45,success,47.414,0.978,,45,45,success,45.291,1.024,,45,45
,console-0.16.3,success,3.099,test_failed,1.83,0.591,18,0,test_failed,1.856,0.986,0.599,18,0,test_failed,3.743,0.489,1.208,18,0,test_failed,1.6,1.144,0.516,18,0,test_failed,1.904,0.961,0.614,18,0,test_failed,2.098,0.872,0.677,18,0,test_failed,1.736,1.054,0.56,18,0
,const-oid-0.10.2,success,0.495,test_failed,8.033,16.228,27,26,test_failed,6.577,1.221,13.287,27,26,test_failed,6.937,1.158,14.014,27,26,test_failed,6,1.339,12.121,27,26,test_failed,5.749,1.397,11.614,27,26,test_failed,5.962,1.347,12.044,27,26,test_failed,5.696,1.41,11.507,27,26
,constant_time_eq-0.5.0,success,1.03,success,13.766,13.365,12,12,success,6.019,2.287,5.844,12,12,success,5.472,2.516,5.313,12,12,success,4.999,2.754,4.853,12,12,success,5.264,2.615,5.111,12,12,success,5.684,2.422,5.518,12,12,success,5.302,2.596,5.148,12,12
,core-foundation-0.10.1,build_failed,,test_failed,3.488,,39,0,test_failed,4.502,0.775,,39,0,test_failed,3.019,1.155,,39,0,test_failed,1.903,1.833,,39,0,test_failed,1.578,2.21,,39,0,test_failed,1.613,2.162,,39,0,test_failed,1.601,2.179,,39,0
,core-foundation-sys-0.8.7,success,0.183,success,8.406,45.934,1,1,success,1.632,5.151,8.918,1,1,success,6.421,1.309,35.087,1,1,success,1.52,5.53,8.306,1,1,success,1.61,5.221,8.798,1,1,success,1.53,5.494,8.361,1,1,success,1.509,5.571,8.246,1,1
,cpufeatures-0.3.0,success,0.439,success,4.44,10.114,3,3,success,4.331,1.025,9.866,3,3,success,4.916,0.903,11.198,3,3,success,4.168,1.065,9.494,3,3,success,4.146,1.071,9.444,3,3,success,4.116,1.079,9.376,3,3,success,3.969,1.119,9.041,3,3
,crc32fast-1.5.0,success,0.941,test_failed,91.447,97.181,6,5,test_failed,86.035,1.063,91.429,6,5,test_failed,89.833,1.018,95.465,6,5,test_failed,84.74,1.079,90.053,6,5,test_failed,88.284,1.036,93.819,6,5,test_failed,83.369,1.097,88.596,6,5,test_failed,79.43,1.151,84.41,6,5
,criterion-0.8.2,success,83.211,test_failed,7.335,0.088,28,0,test_failed,7.207,1.018,0.087,28,0,test_failed,7.78,0.943,0.093,28,0,test_failed,6.832,1.074,0.082,28,0,test_failed,9.244,0.793,0.111,28,0,test_failed,6.688,1.097,0.08,28,0,test_failed,6.843,1.072,0.082,28,0
,crossbeam-channel-0.5.15,success,218.318,success,696.088,3.188,433,430,success,662.306,1.051,3.034,433,430,success,849.223,0.82,3.89,433,430,success,563.746,1.235,2.582,433,430,success,785.228,0.886,3.597,433,430,success,678.876,1.025,3.11,433,430,success,654.293,1.064,2.997,433,430
