crate,name,version,repository,host,extern_c,extern_c_unwind,extern_cpp,matched_files,status
ncursesw-win-0.6.3,ncursesw-win,0.6.3,https://github.com/narfit66/ncursesw-win-rs,github,9,0,0,1,"extern ""C"""
ndi-sdk-0.2.0,ndi-sdk,0.2.0,1,other,0,0,1,kept,"extern ""C++"""
ndwk-0.1.4,ndwk,0.1.4,https://github.com/harunya0/ndwk,github,6,0,0,1,"extern ""C"""
ndx-0.1.1,ndx,0.1.1,https://github.com/tty-pt/libndx,github,20,0,0,1,"extern ""C"""
near-kit-sandbox-0.18.3,near-kit-sandbox,0.18.3,https://github.com/r-near/near-kit-rs,github,2,0,0,1,"extern ""C"""
neo3-3.3.1,neo3,3.3.1,https://github.com/r3e-network/neo-rust-sdk,github,4,0,0,4,"extern ""C"""
neomind-extension-sdk-0.7.1,neomind-extension-sdk,0.7.1,https://github.com/neomind-ai/neomind,github,36,0,0,3,"extern ""C"""
netcorehost-0.22.0,netcorehost,0.22.0,https://github.com/OpenByteDev/netcorehost,github,4,0,0,3,"extern ""C"""
netgauze-rdkafka-0.37.1,netgauze-rdkafka,0.37.1,https://github.com/fede1024/rust-rdkafka,github,27,0,0,13,"extern ""C"""
netmap-min-sys-0.3.1,netmap-min-sys,0.3.1,https://github.com/meshackbahati/netmap-min-sys.git,github,1,0,0,1,"extern ""C"""
networkframework-0.14.0,networkframework,0.14.0,https://github.com/doom-fish/networkframework-rs,github,91,0,0,20,"extern ""C"""
newt-0.7.2,newt,0.7.2,https://github.com/rtgill82/newt-rs,github,5,0,0,1,"extern ""C"""
nexis_wasm_plugin-0.1.5,nexis_wasm_plugin,0.1.5,https://github.com/TriForMine/nexis,github,8,0,0,1,"extern ""C"""
nexo-memory-0.1.6,nexo-memory,0.1.6,https://github.com/lordmacu/nexo-rs,github,1,0,0,1,"extern ""C"""
nf-queue-0.1.0,nf-queue,0.1.0,https://github.com/ecyk/nf-queue,github,13,0,0,2,"extern ""C"""
nfde-0.0.9,nfde,0.0.9,https://github.com/btzy/nfde-rs,github,1,0,0,1,"extern ""C"""
nftnl-0.9.4,nftnl,0.9.4,https://github.com/mullvad/nftnl-rs,github,1,0,0,1,"extern ""C"""
nginx-rs-0.1.0,nginx-rs,0.1.0,https://github.com/dcoles/nginx-rs,github,10,0,0,3,"extern ""C"""
nginx-x402-1.2.0,nginx-x402,1.2.0,https://github.com/polyjuicelab/Nginx-X402,github,22,0,0,3,"extern ""C"""
ngrs-0.1.3,ngrs,0.1.3,https://github.com/minkieyume/ngrs,github,16,0,0,4,"extern ""C"""
ngx-0.5.1,ngx,0.5.1,https://github.com/nginx/ngx-rust,github,19,0,0,8,"extern ""C"""
nimble-rs-0.2.0,nimble-rs,0.2.0,https://github.com/sysgrok/nimble-rs,github,68,0,0,8,"extern ""C"""
nite2-sys-0.2.0,nite2-sys,0.2.0,https://github.com/TooManyBees/nite2-sys,github,39,0,0,1,"extern ""C"""
nm-rs-0.1.3,nm-rs,0.1.3,https://github.com/Daru-san/nm-rs,github,1521,0,0,104,"extern ""C"""
nm-rs-sys-0.1.1,nm-rs-sys,0.1.1,https://github.com/Daru-san/nm-rs,github,54,0,0,1,"extern ""C"""
nma4-0.1.2,nma4,0.1.2,https://codeberg.org/Daru-san/libnma-rs,codeberg,18,0,0,5,"extern ""C"""
nnapi-sys-0.1.1,nnapi-sys,0.1.1,2,other,0,0,1,kept,"extern ""C++"""
nng-1.0.1,nng,1.0.1,https://gitlab.com/neachdainn/nng-rs,gitlab,32,0,0,4,"extern ""C"""
nng-c-1.12.4,nng-c,1.12.4,https://github.com/DoumanAsh/nng-c,github,6,0,0,4,"extern ""C"""
nng-c-sys-1.12.4,nng-c-sys,1.12.4,https://github.com/DoumanAsh/nng-c-sys,github,8,0,0,1,"extern ""C"""
nnrp-ffi-1.0.0-preview.4.26,nnrp-ffi,1.0.0-preview.4.26,https://github.com/NagareWorks/nnrp-rs,github,93,0,0,4,"extern ""C"""
noct-0.1.0,noct,0.1.0,https://github.com/ruriskhakov/noct,github,4,0,0,2,"extern ""C"""
node-app-api-7.1.18,node-app-api,7.1.18,https://github.com/econ-v1/node-app-distribution,github,13,0,0,2,"extern ""C"""
node-app-sdk-rust-7.1.18,node-app-sdk-rust,7.1.18,https://github.com/econ-v1/node-app-distribution,github,13,0,0,1,"extern ""C"""
node-child-process-0.1.1,node-child-process,0.1.1,https://github.com/aspectron/node-child-process,github,1,0,0,1,"extern ""C"""
nodora-0.2.3,nodora,0.2.3,https://github.com/nodora-org/nodora-rs,github,1,0,0,1,"extern ""C"""
nono-0.78.0,nono,0.78.0,https://github.com/nolabs-ai/nono,github,2,0,0,1,"extern ""C"""
nonstick-0.1.2,nonstick,0.1.2,https://code.pfish.zone/crates/nonstick/,other,4,0,0,3,"extern ""C"""
nonstick2-0.1.3,nonstick2,0.1.3,4,other,0,0,3,kept,"extern ""C++"""
norm-uvc-0.3.0-nc,norm-uvc,0.3.0-nc,https://github.com/norma-core/libuvc-rs.git,github,1,0,0,1,"extern ""C"""
nozzle-bindings-1.0.0+1.90.632-b035,nozzle-bindings,1.0.0+1.90.632-b035,https://github.com/kronosnet/kronosnet,github,44,0,0,1,"extern ""C"""
nsf-imgui-0.1.3,nsf-imgui,0.1.3,https://github.com/nsf/imgui-rust,github,5,0,0,2,"extern ""C"""
